Year,Country / territory of asylum/residence,Origin,Population type,Value
1996,Argentina,Estonia,Returnees,6
1996,Argentina,Ghana,Returnees,2
1996,Argentina,Gambia,Returnees,4
1996,Argentina,Haiti,Returnees,2
1996,Argentina,India,Returnees,1
1996,Argentina,Iraq,Returnees,4
1996,Argentina,Liberia,Returnees,6
1996,Argentina,Sri Lanka,Returnees,22
1996,Argentina,Mauritania,Returnees,2
1996,Argentina,Nigeria,Returnees,1
1996,Argentina,Nicaragua,Returnees,1
1996,Argentina,Peru,Returnees,1
1996,Argentina,Romania,Returnees,4
1996,Argentina,Sierra Leone,Returnees,3
1996,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,5
1996,Argentina,Turkey,Returnees,5
1996,Argentina,Ukraine,Returnees,1
1996,Argentina,Uzbekistan,Returnees,4
1996,Australia,Bosnia and Herzegovina,Returnees,54
1996,Austria,Bosnia and Herzegovina,Returnees,4000
1996,Burundi,Dem. Rep. of the Congo,Returnees,751
1996,Burundi,Rwanda,Returnees,127473
1996,Belgium,Bosnia and Herzegovina,Returnees,80
1996,Benin,Dem. Rep. of the Congo,Returnees,2
1996,Benin,Chad,Returnees,11
1996,Benin,Togo,Returnees,15765
1996,Bangladesh,Myanmar,Returnees,23046
1996,Bangladesh,Somalia,Returnees,3
1996,Bulgaria,Bosnia and Herzegovina,Returnees,49
1996,Bulgaria,Ethiopia,Returnees,1
1996,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,79
1996,Bulgaria,Stateless,Returnees,3
1996,Belarus,Afghanistan,Returnees,1
1996,Belize,Guatemala,Returnees,34
1996,Belize,Nicaragua,Returnees,4
1996,Belize,El Salvador,Returnees,102
1996,Bolivia (Plurinational State of),Peru,Returnees,7
1996,Brazil,Angola,Returnees,3
1996,Botswana,Angola,Returnees,10
1996,Botswana,Ethiopia,Returnees,2
1996,Botswana,Liberia,Returnees,1
1996,Botswana,Sudan,Returnees,3
1996,Botswana,Uganda,Returnees,1
1996,Central African Rep.,Angola,Returnees,6
1996,Central African Rep.,Burundi,Returnees,31
1996,Central African Rep.,Rwanda,Returnees,52
1996,Central African Rep.,Sudan,Returnees,512
1996,Central African Rep.,Chad,Returnees,616
1996,Switzerland,Bosnia and Herzegovina,Returnees,1800
1996,Chile,Colombia,Returnees,1
1996,Chile,Cuba,Returnees,2
1996,Chile,Egypt,Returnees,1
1996,Chile,Iraq,Returnees,1
1996,Chile,Mexico,Returnees,1
1996,Chile,Peru,Returnees,37
1996,Chile,Ukraine,Returnees,7
1996,China,Burundi,Returnees,1
1996,China,Cambodia,Returnees,6
1996,China,Lao People's Dem. Rep.,Returnees,235
1996,China,Somalia,Returnees,1
1996,China,Viet Nam,Returnees,514
1996,C̫te d'Ivoire,Liberia,Returnees,127
1996,C̫te d'Ivoire,Rwanda,Returnees,1
1996,Cameroon,Ghana,Returnees,2
1996,Cameroon,Liberia,Returnees,1
1996,Cameroon,Rwanda,Returnees,2
1996,Cameroon,Chad,Returnees,722
1996,Dem. Rep. of the Congo,Angola,Returnees,152
1996,Dem. Rep. of the Congo,Burundi,Returnees,105653
1996,Dem. Rep. of the Congo,Rwanda,Returnees,776521
1996,Dem. Rep. of the Congo,Sudan,Returnees,291
1996,Costa Rica,Cuba,Returnees,2
1996,Costa Rica,Nicaragua,Returnees,972
1996,Costa Rica,El Salvador,Returnees,146
1996,Cuba,Namibia,Returnees,2
1996,Cyprus,Bosnia and Herzegovina,Returnees,22
1996,Cyprus,Iraq,Returnees,1
1996,Czech Rep.,Bosnia and Herzegovina,Returnees,289
1996,Germany,Bosnia and Herzegovina,Returnees,30000
1996,Djibouti,Ethiopia,Returnees,4200
1996,Djibouti,Iraq,Returnees,3
1996,Djibouti,Liberia,Returnees,1
1996,Djibouti,Rwanda,Returnees,1
1996,Djibouti,Uganda,Returnees,1
1996,Denmark,Bosnia and Herzegovina,Returnees,732
1996,Dominican Rep.,Haiti,Returnees,359
1996,Dominican Rep.,Peru,Returnees,1
1996,Algeria,Mali,Returnees,2209
1996,Ecuador,Chile,Returnees,1
1996,Egypt,Burundi,Returnees,1
1996,Egypt,Ethiopia,Returnees,2
1996,Egypt,Iraq,Returnees,1
1996,Egypt,Liberia,Returnees,1
1996,Egypt,Libya,Returnees,1
1996,Egypt,Rwanda,Returnees,10
1996,Egypt,Sudan,Returnees,188
1996,Egypt,Somalia,Returnees,145
1996,Egypt,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,4
1996,Egypt,Yemen,Returnees,98
1996,Eritrea,Liberia,Returnees,1
1996,Spain,Bosnia and Herzegovina,Returnees,16
1996,Finland,Bosnia and Herzegovina,Returnees,52
1996,France,Angola,Returnees,8
1996,France,Albania,Returnees,2
1996,France,Armenia,Returnees,3
1996,France,Azerbaijan,Returnees,1
1996,France,Bangladesh,Returnees,1
1996,France,Bosnia and Herzegovina,Returnees,174
1996,France,Chile,Returnees,1
1996,France,China,Returnees,3
1996,France,Dem. Rep. of the Congo,Returnees,10
1996,France,Congo,Returnees,1
1996,France,Cuba,Returnees,5
1996,France,Algeria,Returnees,36
1996,France,Egypt,Returnees,3
1996,France,Ghana,Returnees,1
1996,France,Guinea,Returnees,1
1996,France,Equatorial Guinea,Returnees,1
1996,France,Croatia,Returnees,4
1996,France,India,Returnees,1
1996,France,Iran (Islamic Rep. of),Returnees,2
1996,France,Iraq,Returnees,4
1996,France,Cambodia,Returnees,1
1996,France,Lao People's Dem. Rep.,Returnees,1
1996,France,Lebanon,Returnees,1
1996,France,Sri Lanka,Returnees,14
1996,France,Morocco,Returnees,1
1996,France,Rep. of Moldova,Returnees,2
1996,France,Pakistan,Returnees,4
1996,France,Peru,Returnees,1
1996,France,Poland,Returnees,1
1996,France,Palestinian,Returnees,3
1996,France,Romania,Returnees,24
1996,France,Russian Federation,Returnees,2
1996,France,Rwanda,Returnees,2
1996,France,Sudan,Returnees,1
1996,France,Senegal,Returnees,2
1996,France,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,6
1996,France,Togo,Returnees,2
1996,France,Tunisia,Returnees,1
1996,France,Turkey,Returnees,17
1996,France,Viet Nam,Returnees,1
1996,France,Stateless,Returnees,7
1996,Gabon,Rwanda,Returnees,5
1996,United Kingdom,Bosnia and Herzegovina,Returnees,230
1996,Ghana,Central African Rep.,Returnees,1
1996,Ghana,Eritrea,Returnees,1
1996,Ghana,Ethiopia,Returnees,1
1996,Ghana,Liberia,Returnees,460
1996,Ghana,Sudan,Returnees,7
1996,Ghana,Sierra Leone,Returnees,2
1996,Ghana,Togo,Returnees,50521
1996,Guinea,Sierra Leone,Returnees,1
1996,Gambia,Liberia,Returnees,5
1996,Gambia,Sierra Leone,Returnees,303
1996,Guinea-Bissau,Sierra Leone,Returnees,5
1996,Greece,Bosnia and Herzegovina,Returnees,3
1996,Greece,Iran (Islamic Rep. of),Returnees,3
1996,Greece,Iraq,Returnees,6
1996,Greece,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,31
1996,Guatemala,Haiti,Returnees,10
1996,Guatemala,Liberia,Returnees,7
1996,Guatemala,Nigeria,Returnees,3
1996,Guatemala,Nicaragua,Returnees,31
1996,Guatemala,Venezuela (Bolivarian Republic of),Returnees,3
1996,"China, Hong Kong SAR",Viet Nam,Returnees,14622
1996,Croatia,Bosnia and Herzegovina,Returnees,22861
1996,Hungary,Bosnia and Herzegovina,Returnees,727
1996,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,3566
1996,Indonesia,Afghanistan,Returnees,4
1996,Indonesia,Iran (Islamic Rep. of),Returnees,1
1996,Indonesia,Cambodia,Returnees,360
1996,Indonesia,Viet Nam,Returnees,4500
1996,India,Afghanistan,Returnees,1766
1996,India,Angola,Returnees,1
1996,India,Ethiopia,Returnees,8
1996,India,Croatia,Returnees,1
1996,India,Iran (Islamic Rep. of),Returnees,18
1996,India,Iraq,Returnees,4
1996,India,Israel,Returnees,5
1996,India,Myanmar,Returnees,41
1996,India,Rwanda,Returnees,5
1996,India,Sudan,Returnees,24
1996,India,Somalia,Returnees,58
1996,Ireland,Bosnia and Herzegovina,Returnees,86
1996,Iran (Islamic Rep. of),Afghanistan,Returnees,14537
1996,Iran (Islamic Rep. of),Iraq,Returnees,81230
1996,Iraq,Iran (Islamic Rep. of),Returnees,3420
1996,Iraq,Somalia,Returnees,3
1996,Iraq,Turkey,Returnees,107
1996,Italy,Bosnia and Herzegovina,Returnees,463
1996,Jordan,Armenia,Returnees,9
1996,Jordan,Bosnia and Herzegovina,Returnees,164
1996,Jordan,Egypt,Returnees,1
1996,Jordan,Eritrea,Returnees,20
1996,Jordan,Iraq,Returnees,41
1996,Jordan,Somalia,Returnees,1
1996,Japan,Viet Nam,Returnees,16
1996,Kenya,Dem. Rep. of the Congo,Returnees,1
1996,Kenya,Ethiopia,Returnees,416
1996,Kenya,Mozambique,Returnees,74
1996,Kenya,Rwanda,Returnees,249
1996,Kenya,Sudan,Returnees,47
1996,Kenya,Somalia,Returnees,1010
1996,Kenya,Uganda,Returnees,326
1996,Cambodia,Viet Nam,Returnees,3
1996,Rep. of Korea,Afghanistan,Returnees,1
1996,Rep. of Korea,Liberia,Returnees,1
1996,Kuwait,Afghanistan,Returnees,169
1996,Kuwait,Iraq,Returnees,105
1996,Kuwait,Palestinian,Returnees,1
1996,Kuwait,Somalia,Returnees,10
1996,Lebanon,Iraq,Returnees,42
1996,Lebanon,Sudan,Returnees,12
1996,Lebanon,Somalia,Returnees,4
1996,Liberia,Ghana,Returnees,1
1996,Liberia,Iraq,Returnees,1
1996,Liberia,Lebanon,Returnees,1
1996,Liberia,Palestinian,Returnees,1
1996,Liberia,Sudan,Returnees,4
1996,Liberia,South Africa,Returnees,4
1996,Libya,Eritrea,Returnees,1323
1996,Libya,Ethiopia,Returnees,289
1996,Sri Lanka,Afghanistan,Returnees,1
1996,Sri Lanka,Iraq,Returnees,1
1996,Sri Lanka,Rwanda,Returnees,1
1996,Morocco,Liberia,Returnees,2
1996,Morocco,Somalia,Returnees,2
1996,Morocco,Chad,Returnees,1
1996,Mexico,Colombia,Returnees,2
1996,Mexico,Guatemala,Returnees,4424
1996,Mexico,Honduras,Returnees,29
1996,Mexico,Nicaragua,Returnees,4
1996,Mexico,El Salvador,Returnees,980
1996,The former Yugoslav Republic of Macedonia,Bosnia and Herzegovina,Returnees,1211
1996,Mali,Liberia,Returnees,46
1996,Mali,Nigeria,Returnees,30
1996,Mali,Rwanda,Returnees,1
1996,Mali,Sierra Leone,Returnees,96
1996,Mali,Togo,Returnees,1
1996,Malta,Bosnia and Herzegovina,Returnees,2
1996,Malta,Algeria,Returnees,14
1996,Malta,Iraq,Returnees,4
1996,Malta,Palestinian,Returnees,10
1996,Malta,Sudan,Returnees,20
1996,Malta,Somalia,Returnees,35
1996,Mozambique,Angola,Returnees,5
1996,Mozambique,Burundi,Returnees,6
1996,Mozambique,Dem. Rep. of the Congo,Returnees,21
1996,Mozambique,Rwanda,Returnees,3
1996,Mozambique,Sudan,Returnees,1
1996,Mauritania,Mali,Returnees,18515
1996,Malaysia,Afghanistan,Returnees,6
1996,Malaysia,Bosnia and Herzegovina,Returnees,86
1996,Malaysia,Dem. Rep. of the Congo,Returnees,2
1996,Malaysia,Iran (Islamic Rep. of),Returnees,40
1996,Malaysia,Iraq,Returnees,22
1996,Malaysia,Sri Lanka,Returnees,7
1996,Malaysia,Myanmar,Returnees,10
1996,Malaysia,Somalia,Returnees,10
1996,Namibia,Angola,Returnees,35
1996,Namibia,Burundi,Returnees,21
1996,Namibia,Liberia,Returnees,10
1996,Namibia,Rwanda,Returnees,28
1996,Niger,Mali,Returnees,1000
1996,Niger,Rwanda,Returnees,1
1996,Niger,Somalia,Returnees,74
1996,Niger,Chad,Returnees,833
1996,Niger,Togo,Returnees,1
1996,Nigeria,Ghana,Returnees,2
1996,Nigeria,Liberia,Returnees,45
1996,Nigeria,Chad,Returnees,2
1996,Nicaragua,Cuba,Returnees,14
1996,Nicaragua,El Salvador,Returnees,2
1996,Netherlands,Bosnia and Herzegovina,Returnees,114
1996,Norway,Bosnia and Herzegovina,Returnees,844
1996,Pakistan,Afghanistan,Returnees,140390
1996,Pakistan,Bosnia and Herzegovina,Returnees,24
1996,Pakistan,Iraq,Returnees,2
1996,Pakistan,Somalia,Returnees,40
1996,Peru,Bosnia and Herzegovina,Returnees,3
1996,Peru,Cuba,Returnees,40
1996,Peru,Hungary,Returnees,4
1996,Peru,Iran (Islamic Rep. of),Returnees,3
1996,Peru,Palestinian,Returnees,6
1996,Philippines,Iran (Islamic Rep. of),Returnees,5
1996,Philippines,Iraq,Returnees,1
1996,Philippines,Palestinian,Returnees,5
1996,Philippines,Viet Nam,Returnees,907
1996,Papua New Guinea,Indonesia,Returnees,25
1996,Portugal,Bosnia and Herzegovina,Returnees,7
1996,Russian Federation,Afghanistan,Returnees,22
1996,Russian Federation,Ethiopia,Returnees,8
1996,Russian Federation,Somalia,Returnees,25
1996,Saudi Arabia,Iraq,Returnees,40
1996,Sudan,Ethiopia,Returnees,22981
1996,Senegal,Angola,Returnees,2
1996,Senegal,Liberia,Returnees,12
1996,Senegal,Sri Lanka,Returnees,1
1996,Senegal,Mali,Returnees,249
1996,Senegal,Mauritania,Returnees,1455
1996,Senegal,Sudan,Returnees,1
1996,Senegal,Sierra Leone,Returnees,91
1996,Senegal,Somalia,Returnees,2
1996,Senegal,Chad,Returnees,3
1996,Senegal,Togo,Returnees,1
1996,Senegal,United Rep. of Tanzania,Returnees,2
1996,Singapore,Sri Lanka,Returnees,1
1996,Singapore,Rwanda,Returnees,1
1996,Singapore,Somalia,Returnees,1
1996,Singapore,Viet Nam,Returnees,99
1996,El Salvador,Gambia,Returnees,1
1996,Somalia,Brunei Darussalam,Returnees,5
1996,Somalia,Eritrea,Returnees,4
1996,Somalia,Ethiopia,Returnees,14
1996,Somalia,Kenya,Returnees,2
1996,Somalia,Rwanda,Returnees,7
1996,Somalia,Sudan,Returnees,5
1996,Somalia,United Rep. of Tanzania,Returnees,4
1996,Somalia,Yemen,Returnees,2
1996,Serbia and Kosovo (S/RES/1244 (1999)),Afghanistan,Returnees,7
1996,Serbia and Kosovo (S/RES/1244 (1999)),Bosnia and Herzegovina,Returnees,774
1996,Serbia and Kosovo (S/RES/1244 (1999)),Croatia,Returnees,354
1996,Serbia and Kosovo (S/RES/1244 (1999)),Iran (Islamic Rep. of),Returnees,5
1996,Serbia and Kosovo (S/RES/1244 (1999)),Iraq,Returnees,4
1996,Serbia and Kosovo (S/RES/1244 (1999)),Somalia,Returnees,1
1996,Slovakia,Bosnia and Herzegovina,Returnees,132
1996,Slovenia,Bosnia and Herzegovina,Returnees,1674
1996,Sweden,Bosnia and Herzegovina,Returnees,292
1996,Swaziland,Angola,Returnees,6
1996,Swaziland,Burundi,Returnees,35
1996,Swaziland,Dem. Rep. of the Congo,Returnees,32
1996,Swaziland,Ethiopia,Returnees,28
1996,Swaziland,Mozambique,Returnees,25
1996,Swaziland,Rwanda,Returnees,1
1996,Swaziland,Somalia,Returnees,52
1996,Swaziland,Uganda,Returnees,4
1996,Syrian Arab Rep.,Bosnia and Herzegovina,Returnees,9
1996,Syrian Arab Rep.,Algeria,Returnees,1
1996,Syrian Arab Rep.,Eritrea,Returnees,8
1996,Syrian Arab Rep.,Iraq,Returnees,21
1996,Togo,Rwanda,Returnees,1
1996,Thailand,Cambodia,Returnees,2
1996,Thailand,Lao People's Dem. Rep.,Returnees,9
1996,Thailand,Sri Lanka,Returnees,2
1996,Thailand,Somalia,Returnees,2
1996,Thailand,Viet Nam,Returnees,4698
1996,Tajikistan,Afghanistan,Returnees,3
1996,Tajikistan,Russian Federation,Returnees,3
1996,Turkmenistan,Afghanistan,Returnees,1750
1996,Turkmenistan,Azerbaijan,Returnees,10
1996,Turkmenistan,Russian Federation,Returnees,5
1996,Turkmenistan,Tajikistan,Returnees,5330
1996,Tunisia,Burundi,Returnees,2
1996,Tunisia,Bosnia and Herzegovina,Returnees,13
1996,Tunisia,Dem. Rep. of the Congo,Returnees,3
1996,Tunisia,Czech Rep.,Returnees,4
1996,Tunisia,Algeria,Returnees,19
1996,Tunisia,Iraq,Returnees,1
1996,Tunisia,Nigeria,Returnees,1
1996,Tunisia,Somalia,Returnees,12
1996,Turkey,Bosnia and Herzegovina,Returnees,1672
1996,United Rep. of Tanzania,Burundi,Returnees,2308
1996,United Rep. of Tanzania,Dem. Rep. of the Congo,Returnees,20
1996,United Rep. of Tanzania,Mozambique,Returnees,1500
1996,United Rep. of Tanzania,Rwanda,Returnees,506073
1996,United Rep. of Tanzania,South Africa,Returnees,127
1996,Uganda,Rwanda,Returnees,245
1996,Uganda,Sudan,Returnees,1
1996,Uruguay,Colombia,Returnees,3
1996,Uruguay,Russian Federation,Returnees,6
1996,United States of America,Bosnia and Herzegovina,Returnees,100
1996,Uzbekistan,Afghanistan,Returnees,58
1996,Uzbekistan,Armenia,Returnees,1
1996,Uzbekistan,Russian Federation,Returnees,1
1996,Venezuela (Bolivarian Republic of),Chile,Returnees,33
1996,Venezuela (Bolivarian Republic of),Haiti,Returnees,1
1996,Various/Unknown,Bosnia and Herzegovina,Returnees,31856
1996,Yemen,Eritrea,Returnees,1
1996,Yemen,Ethiopia,Returnees,37
1996,Yemen,Somalia,Returnees,229
1996,South Africa,Angola,Returnees,308
1996,South Africa,China,Returnees,2
1996,South Africa,Dem. Rep. of the Congo,Returnees,310
1996,South Africa,Ethiopia,Returnees,13
1996,South Africa,Nigeria,Returnees,55
1996,South Africa,Pakistan,Returnees,16
1996,South Africa,Rwanda,Returnees,96
1996,South Africa,Somalia,Returnees,52
1996,Zambia,Angola,Returnees,2
1996,Zambia,Dem. Rep. of the Congo,Returnees,69
1996,Zambia,Mozambique,Returnees,6
1996,Zimbabwe,Angola,Returnees,11
1996,Zimbabwe,Burundi,Returnees,4
1996,Zimbabwe,Dem. Rep. of the Congo,Returnees,2
1996,Zimbabwe,Ethiopia,Returnees,1
1996,Zimbabwe,Kenya,Returnees,2
1996,Zimbabwe,Liberia,Returnees,11
1996,Zimbabwe,Mali,Returnees,3
1996,Zimbabwe,Nigeria,Returnees,1
1996,Zimbabwe,Rwanda,Returnees,3
1996,Zimbabwe,Sierra Leone,Returnees,3
1996,Zimbabwe,Somalia,Returnees,16
1996,Zimbabwe,Togo,Returnees,4
1996,Zimbabwe,Uganda,Returnees,2
1996,Zimbabwe,South Africa,Returnees,1
1997,Afghanistan,Tajikistan,Returnees,10257
1997,Angola,South Africa,Returnees,2
1997,Austria,Bosnia and Herzegovina,Returnees,4000
1997,Burundi,Rwanda,Returnees,3567
1997,Benin,Chad,Returnees,169
1997,Benin,Togo,Returnees,3370
1997,Burkina Faso,Mali,Returnees,17300
1997,Burkina Faso,Niger,Returnees,403
1997,Bangladesh,Myanmar,Returnees,10070
1997,Bangladesh,Somalia,Returnees,2
1997,Bulgaria,Bosnia and Herzegovina,Returnees,8
1997,Belize,Guatemala,Returnees,25
1997,Belize,El Salvador,Returnees,63
1997,Brazil,Angola,Returnees,3
1997,Botswana,Uganda,Returnees,2
1997,Central African Rep.,Angola,Returnees,13
1997,Central African Rep.,Dem. Rep. of the Congo,Returnees,1785
1997,Central African Rep.,Congo,Returnees,366
1997,Central African Rep.,Chad,Returnees,1500
1997,Central African Rep.,Uganda,Returnees,6
1997,Switzerland,Bosnia and Herzegovina,Returnees,3921
1997,China,Cambodia,Returnees,4
1997,China,Lao People's Dem. Rep.,Returnees,271
1997,China,Viet Nam,Returnees,278
1997,C̫te d'Ivoire,Liberia,Returnees,587
1997,Cameroon,Congo,Returnees,10
1997,Cameroon,Liberia,Returnees,5
1997,Cameroon,Chad,Returnees,659
1997,Cameroon,Uganda,Returnees,1
1997,Dem. Rep. of the Congo,Angola,Returnees,28835
1997,Dem. Rep. of the Congo,Burundi,Returnees,24511
1997,Dem. Rep. of the Congo,Congo,Returnees,11800
1997,Dem. Rep. of the Congo,Rwanda,Returnees,178429
1997,Dem. Rep. of the Congo,Uganda,Returnees,9
1997,Dem. Rep. of the Congo,South Africa,Returnees,8
1997,Congo,Angola,Returnees,255
1997,Congo,Rwanda,Returnees,1500
1997,Cuba,Guatemala,Returnees,1
1997,Cyprus,Bosnia and Herzegovina,Returnees,6
1997,Czech Rep.,Bosnia and Herzegovina,Returnees,200
1997,Germany,Bosnia and Herzegovina,Returnees,95929
1997,Germany,Cambodia,Returnees,1
1997,Djibouti,Ethiopia,Returnees,117
1997,Djibouti,Somalia,Returnees,106
1997,Denmark,Bosnia and Herzegovina,Returnees,321
1997,Algeria,Burundi,Returnees,2
1997,Algeria,Mali,Returnees,2400
1997,Egypt,Somalia,Returnees,5
1997,Spain,Bosnia and Herzegovina,Returnees,3
1997,Ethiopia,Kenya,Returnees,7
1997,Ethiopia,Somalia,Returnees,50000
1997,Ethiopia,Uganda,Returnees,20
1997,Ethiopia,South Africa,Returnees,3
1997,Finland,Bosnia and Herzegovina,Returnees,15
1997,France,Bosnia and Herzegovina,Returnees,6
1997,France,Cambodia,Returnees,1
1997,Gabon,Rwanda,Returnees,2000
1997,United Kingdom,Bosnia and Herzegovina,Returnees,271
1997,Ghana,Liberia,Returnees,732
1997,Ghana,Togo,Returnees,8988
1997,Guinea,Liberia,Returnees,12994
1997,Guatemala,Nicaragua,Returnees,40
1997,Guatemala,El Salvador,Returnees,14
1997,"China, Hong Kong SAR",Viet Nam,Returnees,4512
1997,Honduras,El Salvador,Returnees,41
1997,Croatia,Bosnia and Herzegovina,Returnees,5201
1997,Hungary,Bosnia and Herzegovina,Returnees,229
1997,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,1200
1997,Indonesia,Cambodia,Returnees,1
1997,Indonesia,Viet Nam,Returnees,8
1997,India,Bangladesh,Returnees,16539
1997,India,Sri Lanka,Returnees,1
1997,Ireland,Bosnia and Herzegovina,Returnees,1
1997,Iran (Islamic Rep. of),Afghanistan,Returnees,2000
1997,Iran (Islamic Rep. of),Iraq,Returnees,10438
1997,Iraq,Turkey,Returnees,1171
1997,Italy,Bosnia and Herzegovina,Returnees,100
1997,Japan,Viet Nam,Returnees,7
1997,Kazakhstan,Russian Federation,Returnees,42
1997,Kenya,Ethiopia,Returnees,2417
1997,Kenya,Mozambique,Returnees,30
1997,Kenya,Rwanda,Returnees,190
1997,Kenya,Sudan,Returnees,23
1997,Kenya,Somalia,Returnees,277
1997,Kenya,Uganda,Returnees,1140
1997,Liberia,Sierra Leone,Returnees,1800
1997,Libya,Eritrea,Returnees,900
1997,Libya,Somalia,Returnees,1023
1997,Mexico,Guatemala,Returnees,3535
1997,Mexico,El Salvador,Returnees,11
1997,The former Yugoslav Republic of Macedonia,Bosnia and Herzegovina,Returnees,418
1997,Mali,Mauritania,Returnees,5660
1997,Mozambique,Angola,Returnees,5
1997,Mauritania,Mali,Returnees,13845
1997,Malaysia,Somalia,Returnees,3
1997,Malaysia,Viet Nam,Returnees,4
1997,Namibia,Angola,Returnees,129
1997,Niger,Mali,Returnees,951
1997,Niger,Chad,Returnees,283
1997,Nigeria,Liberia,Returnees,364
1997,Nigeria,Sudan,Returnees,1
1997,Nicaragua,Guatemala,Returnees,12
1997,Netherlands,Bosnia and Herzegovina,Returnees,4
1997,Norway,Bosnia and Herzegovina,Returnees,448
1997,Pakistan,Afghanistan,Returnees,84500
1997,Pakistan,Somalia,Returnees,11
1997,Russian Federation,Cameroon,Returnees,1
1997,Rwanda,Burundi,Returnees,5600
1997,Rwanda,Sudan,Returnees,5
1997,Sudan,Eritrea,Returnees,700
1997,Sudan,Ethiopia,Returnees,7300
1997,Sudan,Uganda,Returnees,69
1997,Senegal,Mauritania,Returnees,5032
1997,Sierra Leone,Liberia,Returnees,500
1997,Somalia,South Africa,Returnees,9
1997,Serbia and Kosovo (S/RES/1244 (1999)),Bosnia and Herzegovina,Returnees,213
1997,Serbia and Kosovo (S/RES/1244 (1999)),Croatia,Returnees,6155
1997,Slovakia,Bosnia and Herzegovina,Returnees,23
1997,Slovenia,Bosnia and Herzegovina,Returnees,2100
1997,Slovenia,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,700
1997,Sweden,Bosnia and Herzegovina,Returnees,770
1997,Swaziland,Uganda,Returnees,3
1997,Togo,Uganda,Returnees,1
1997,Thailand,Bosnia and Herzegovina,Returnees,1
1997,Thailand,Cambodia,Returnees,3368
1997,Thailand,Lao People's Dem. Rep.,Returnees,52
1997,Thailand,Viet Nam,Returnees,127
1997,Turkmenistan,Tajikistan,Returnees,2000
1997,Turkey,Bosnia and Herzegovina,Returnees,772
1997,United Rep. of Tanzania,Burundi,Returnees,60700
1997,United Rep. of Tanzania,Dem. Rep. of the Congo,Returnees,24400
1997,United Rep. of Tanzania,Rwanda,Returnees,25669
1997,United Rep. of Tanzania,Uganda,Returnees,5
1997,Uganda,Dem. Rep. of the Congo,Returnees,14130
1997,Uganda,Kenya,Returnees,6
1997,Uganda,Rwanda,Returnees,8813
1997,Uganda,Sudan,Returnees,63310
1997,United States of America,Angola,Returnees,4
1997,United States of America,Bosnia and Herzegovina,Returnees,1
1997,Various/Unknown,Bosnia and Herzegovina,Returnees,5891
1997,Various/Unknown,Croatia,Returnees,10000
1997,Various/Unknown,Kazakhstan,Returnees,10000
1997,Various/Unknown,Lao People's Dem. Rep.,Returnees,27
1997,Various/Unknown,Nicaragua,Returnees,1
1997,Various/Unknown,Rwanda,Returnees,174
1997,Various/Unknown,El Salvador,Returnees,1
1997,Various/Unknown,Somalia,Returnees,14
1997,Yemen,Ethiopia,Returnees,200
1997,Yemen,Somalia,Returnees,400
1997,South Africa,Angola,Returnees,2
1997,Zambia,Angola,Returnees,24762
1997,Zambia,Dem. Rep. of the Congo,Returnees,4800
1997,Zambia,Rwanda,Returnees,112
1997,Zambia,Uganda,Returnees,2
1998,Afghanistan,Kazakhstan,Returnees,1057
1998,Afghanistan,Tajikistan,Returnees,136
1998,Afghanistan,Uzbekistan,Returnees,1
1998,Angola,Dem. Rep. of the Congo,Returnees,10
1998,Australia,Bosnia and Herzegovina,Returnees,1
1998,Austria,Bosnia and Herzegovina,Returnees,794
1998,Burundi,Dem. Rep. of the Congo,Returnees,3609
1998,Burundi,Rwanda,Returnees,1534
1998,Burundi,Somalia,Returnees,1
1998,Burundi,South Africa,Returnees,1
1998,Belgium,Bosnia and Herzegovina,Returnees,98
1998,Benin,Burundi,Returnees,1
1998,Benin,Dem. Rep. of the Congo,Returnees,1
1998,Benin,Congo,Returnees,17
1998,Benin,Chad,Returnees,2
1998,Burkina Faso,Dem. Rep. of the Congo,Returnees,1
1998,Burkina Faso,Mali,Returnees,1664
1998,Burkina Faso,Rwanda,Returnees,1
1998,Burkina Faso,Chad,Returnees,1
1998,Bangladesh,Myanmar,Returnees,106
1998,Bangladesh,Somalia,Returnees,1
1998,Bosnia and Herzegovina,Croatia,Returnees,117
1998,Belarus,Tajikistan,Returnees,8
1998,Belize,Guatemala,Returnees,22
1998,Belize,El Salvador,Returnees,32
1998,Bolivia (Plurinational State of),Peru,Returnees,7
1998,Brazil,Angola,Returnees,1
1998,Central African Rep.,Angola,Returnees,1
1998,Central African Rep.,Burundi,Returnees,2
1998,Central African Rep.,Rwanda,Returnees,1
1998,Central African Rep.,Sudan,Returnees,7
1998,Central African Rep.,Chad,Returnees,879
1998,Canada,Bosnia and Herzegovina,Returnees,2
1998,Canada,Chad,Returnees,1
1998,Switzerland,Bosnia and Herzegovina,Returnees,4821
1998,China,Burundi,Returnees,1
1998,China,Cambodia,Returnees,4
1998,China,Lao People's Dem. Rep.,Returnees,177
1998,C̫te d'Ivoire,Liberia,Returnees,100563
1998,C̫te d'Ivoire,Somalia,Returnees,1
