Year,Country / territory of asylum/residence,Origin,Population type,Value
1989,Sudan,Dem. Rep. of the Congo,Returnees,350
1989,Sudan,Ethiopia,Returnees,1140
1989,Sudan,Chad,Returnees,50
1989,Sudan,Uganda,Returnees,18850
1989,Somalia,Ethiopia,Returnees,4700
1989,Thailand,Lao People's Dem. Rep.,Returnees,1910
1989,Thailand,Viet Nam,Returnees,9
1989,Turkey,Iran (Islamic Rep. of),Returnees,380
1989,Turkey,Iraq,Returnees,280
1989,United States of America,Lao People's Dem. Rep.,Returnees,10
1989,Various/Unknown,Cambodia,Returnees,670
1989,Various/Unknown,Mozambique,Returnees,68610
1989,Zambia,Angola,Returnees,350
1989,Zambia,Mozambique,Returnees,80
1989,Zambia,Namibia,Returnees,3120
1989,Zimbabwe,Mozambique,Returnees,770
1990,Benin,Chad,Returnees,320
1990,Belize,Nicaragua,Returnees,60
1990,Central African Rep.,Chad,Returnees,1330
1990,Cameroon,Chad,Returnees,2430
1990,Dem. Rep. of the Congo,Angola,Returnees,7000
1990,Congo,Chad,Returnees,50
1990,Costa Rica,Nicaragua,Returnees,6760
1990,Costa Rica,El Salvador,Returnees,50
1990,Cyprus,Iraq,Returnees,80
1990,Cyprus,Lebanon,Returnees,50
1990,Dominican Rep.,Haiti,Returnees,150
1990,Ecuador,Chile,Returnees,160
1990,Ethiopia,Sudan,Returnees,18440
1990,Ethiopia,Somalia,Returnees,20190
1990,France,Lao People's Dem. Rep.,Returnees,1
1990,Guatemala,Nicaragua,Returnees,1180
1990,"China, Hong Kong SAR",Viet Nam,Returnees,5462
1990,Honduras,Guatemala,Returnees,80
1990,Honduras,Nicaragua,Returnees,27420
1990,Honduras,El Salvador,Returnees,7870
1990,Indonesia,Viet Nam,Returnees,289
1990,India,Afghanistan,Returnees,2200
1990,India,Iran (Islamic Rep. of),Returnees,150
1990,Japan,Lao People's Dem. Rep.,Returnees,1
1990,Kenya,Uganda,Returnees,80
1990,Mexico,Guatemala,Returnees,840
1990,Mexico,El Salvador,Returnees,230
1990,Mali,Guinea,Returnees,50
1990,Malawi,Mozambique,Returnees,510
1990,Malaysia,Viet Nam,Returnees,299
1990,Nigeria,Chad,Returnees,1760
1990,Nicaragua,El Salvador,Returnees,140
1990,Nepal,Afghanistan,Returnees,90
1990,Nepal,China,Returnees,1380
1990,Pakistan,Afghanistan,Returnees,19290
1990,Philippines,Viet Nam,Returnees,70
1990,Papua New Guinea,Indonesia,Returnees,990
1990,Rwanda,Burundi,Returnees,320
1990,Singapore,Viet Nam,Returnees,5
1990,El Salvador,Nicaragua,Returnees,150
1990,Serbia and Kosovo (S/RES/1244 (1999)),Romania,Returnees,190
1990,Thailand,Lao People's Dem. Rep.,Returnees,3090
1990,Thailand,Viet Nam,Returnees,173
1990,Turkey,Iran (Islamic Rep. of),Returnees,170
1990,Turkey,Iraq,Returnees,110
1990,United States of America,Lao People's Dem. Rep.,Returnees,12
1990,Venezuela (Bolivarian Republic of),Chile,Returnees,130
1990,Venezuela (Bolivarian Republic of),Cuba,Returnees,430
1990,Zambia,Dem. Rep. of the Congo,Returnees,80
1990,Zambia,Namibia,Returnees,2770
1991,Angola,Namibia,Returnees,250
